user_pseudo_id,first_date,segment_72h,search_72h,view_item_72h,scroll_72h,add_to_cart_72h,begin_checkout_72h,purchase_72h,sessions_72h,view_item_events_72h,retained_post72h_d30
6483370.3267438359,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
6518148.8616795855,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,1
6575459.3325013814,2020-12-27,low_engagement_72h,0,0,1,0,0,0,2,0,0
6602286.7933938266,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
6734727.4972562580,2020-12-27,low_engagement_72h,0,0,0,0,0,0,2,0,0
6851371.6972106271,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
6911390.3555612246,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
7093276.6418063918,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
7229034.5435019868,2020-12-27,product_viewer_no_scroll_72h,0,1,0,0,0,0,1,1,0
7298292.3973223129,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
7359888.0908128578,2020-12-27,low_engagement_72h,0,0,0,0,0,0,2,0,0
7425560.8238573003,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
7673811.4877942198,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
7760557.0840745683,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,7,9,0
7846399.9867288544,2020-12-27,low_engagement_72h,0,0,1,0,0,0,6,0,1
7857115.2428421517,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
7878618.2578317999,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
7993743.5009770560,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
8172799.0562027525,2020-12-25,low_engagement_72h,0,0,1,0,0,0,2,0,0
8236197.9171681895,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
8247566.0534054883,2020-12-27,product_viewer_scroll_72h,0,1,1,1,0,0,1,11,0
8258921.0916240231,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
8281112.8920808109,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
8760069.9695610787,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
9000741.9126722815,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,1,0
9084885.5392260534,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
9177290.4922559017,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
9196568.6270018347,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
9515877.4103181878,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
9669850.5860467949,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
10089830.4539849195,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
10293315.3727388349,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
12328533.0350669831,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
12394373.5989205502,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
13570720.3793594966,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
15079092.5149419744,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
15942168.4808012855,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
16093507.7220189048,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,3,0
18350578.4490404277,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
18539855.4983077098,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,1,0
19063763.6242680114,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
20397655.8010899703,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
